date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:11	28147/28147	---M-Z	200	added ('OK')	application/x-javascript	etag:%226df3-5f175adb-6a5e2b92e9657142;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/extensions/revolution.extension.slideanims.min.js	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/extensions/revolution.extension.slideanims.min.js	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:41:05	7952/7952	---M-Z	200	added ('OK')	application/x-javascript	etag:%221f10-5f175adb-d59d4d2f2178446b;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/extensions/revolution.extension.parallax.min.js	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/extensions/revolution.extension.parallax.min.js	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:41:06	2448/2448	---M-Z	200	added ('OK')	application/x-javascript	etag:%22990-5f175b0a-e7814acc33ab4a98;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/js/jquery.revolution.js	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/js/jquery.revolution.js	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:41:07	14801/14801	---M-Z	200	added ('OK')	application/x-javascript	etag:%2239d1-5f175b08-8ef4e6fafb60933f;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/js/custom.js	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/js/custom.js	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:41:09	70807/70807	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-5f175add-403bb103c1ebdb3;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfont.eot?v=4.5.0	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfont3295.eot	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/font-awesome.css)
13:41:11	70807/70807	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-5f175add-403bb103c1ebdb3;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfont.eot?	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfontd41d.eot	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/font-awesome.css)
13:41:11	66624/66624	---M--	200	added ('OK')	font/woff2	etag:%2210440-5f175add-677fcbdfc946d654;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfont.woff2?v=4.5.0	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfont3295.woff2	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/font-awesome.css)
13:41:13	142072/142072	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2222af8-5f175ade-52958c8de6597867;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfont.ttf?v=4.5.0	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfont3295.ttf	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/font-awesome.css)
13:41:13	83588/83588	---M--	200	added ('OK')	application/font-woff	etag:%2214684-5f175add-a95dd25c669d397f;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfont.woff?v=4.5.0	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfont3295.woff	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/font-awesome.css)
13:41:14	365616/365616	---M-Z	200	added ('OK')	image/svg+xml	etag:%2259430-5f175ade-d718f6059c33c2b;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfont.svg?v=4.5.0	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/fontawesome-webfont3295.svg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/font-awesome.css)
